,overall,verified,reviewerID,reviewerName,reviewText,summary,preprocessed_text,ResultadoHF,Sentiment,Score
21,5.0,True,A393FE9USJGVLU,Cakraft,I found this dvd put together with historical facts and visuals that kept my interest in the issues discussed. would recommend 6-12 grade classes watching this.,better than expected,found dvd put together historical facts visuals kept interest issues discussed would recommend grade classes watching," POSITIVE,  0.9599941968917847", Positivo,  0.9599941968917847
22,5.0,True,ASDTPYYN9SMLU,Earl,"Well done!  I will definitely be showing this to my children when they get a little older.  This is the documentary you will never see in our public school system these days.  Ironically, it is the one documentary that you should have to see before you graduate.  It is amazing how far our country has fallen from the original intentions of our Founding Fathers.  This is a great reminder of what liberalism and political correctness has done to the United States of America.",A must see for all Americans,well done definitely showing children get little older documentary never see public school system days ironically one documentary see graduate amazing far country fallen original intentions founding fathers great reminder liberalism political correctness done united states america," POSITIVE,  0.9994971752166748", Positivo,  0.9994971752166748
23,5.0,True,A1E7VTRDMI4XMV,Harold,Really excellent piece of work showing the beliefs of the founding fathers and what is happening now to our nation.,Freedom and Religon under attack,really excellent piece work showing beliefs founding fathers happening nation," POSITIVE,  0.99986732006073", Positivo,  0.99986732006073
28,4.0,False,A3S1YI6MC7832G,Reviewer,"Being a huge fan of this classic, I own dozens of versions and this one  adds a nice variety.  The twists and changes to this timeless story truly  do justice to the original and the performances, for the most part, are  stellar.  If you're looking for the same feel good movie but in a new  setting, this one's for you.",A Great New Version of a Wonderful Old Story,huge fan classic dozens versions one adds nice variety twists changes timeless story truly justice original performances part stellar looking feel good movie new setting one," POSITIVE,  0.9998767375946045", Positivo,  0.9998767375946045
29,5.0,True,A131408USYVUN5,Conrad R. Naugle,as described,Five Stars,described," POSITIVE,  0.9939826130867004", Positivo,  0.9939826130867004
30,5.0,True,A2U7DG83EXUSFP,Donald R. Brandeberry,A good movie with morals,Family movie,good movie morals," POSITIVE,  0.9998570680618286", Positivo,  0.9998570680618286
31,5.0,True,A1NMYH2IITNOC4,Karen Ridge,Love the movie.,Great movie.,love movie," POSITIVE,  0.9998822212219238", Positivo,  0.9998822212219238
32,5.0,True,A1DCI4344E1O3P,Bob,This TV movie brought back fond memories of the first time my wife and I watched it in the late 70's. Henry Winkler did a great job with the character of an American Scrooge. It was radical change from the Fonz.,Henry Winkler did a great job with the character of an American Scrooge,tv movie brought back fond memories first time wife watched late henry winkler great job character american scrooge radical change fonz," POSITIVE,  0.9984159469604492", Positivo,  0.9984159469604492
33,5.0,False,A1XQVED2NX33TN,In my opinion...,"More of a 'modern' version of the classic.  I didn't think I'd be impressed when my parents took this out but I gave it a try and have to say...what a great adaptation.  The cast was great, Winkler was exceptional.  I was very happy to see this on Amazon and happened to catch it when the price went way down so I snapped it up.  Great timeless classic...and Winkler really surprised me with his portrayal.","Was happily surprised...great version, esp for a TV rendition.",version classic think impressed parents took gave try say great adaptation cast great winkler exceptional happy see amazon happened catch price went way snapped great timeless classic winkler really surprised portrayal," POSITIVE,  0.9997050166130066", Positivo,  0.9997050166130066
34,5.0,True,A29HHWJB3JYPX7,Joanne M. Jackson,Perfect!,Five Stars,perfect," POSITIVE,  0.9998676776885986", Positivo,  0.9998676776885986
35,5.0,True,AZPHVD6XM61V,Ronald Dickens,"A rare classic,  a good movie.",a good movie.,rare classic good movie," POSITIVE,  0.9998804330825806", Positivo,  0.9998804330825806
36,5.0,True,ARSGS4RQUVL1O,M. Smith,The Christmas Carol is my all time favorite story.  I haven't found a version that I haven't disliked yet.  This one was no exception.  Henry Winkler did an awesome joy portraying the Scrooge like character.,The Christmas Carol is my all time favorite story. I haven't found a version that I ...,christmas carol time favorite story found version disliked yet one exception henry winkler awesome joy portraying scrooge like character," POSITIVE,  0.9997645020484924", Positivo,  0.9997645020484924
37,5.0,True,A21A5AK06GGXRT,Julie Hemenway,"Heard about this movie saw it years ago. Husband wanted to see it, I just added it to my christmas movie collection.",Heard about this movie saw it years ago. Husband ...,heard movie saw years ago husband wanted see added christmas movie collection," POSITIVE,  0.9905568361282349", Positivo,  0.9905568361282349
38,5.0,True,A3Q7WXBOTKP05H,robert leib,Great movie thank you !!!,Five Stars,great movie thank," POSITIVE,  0.9998800754547119", Positivo,  0.9998800754547119
39,3.0,True,A101IGU6UDKW3X,DorothyZ,Well made Christmas movie. It's a little slow but sweet natured.,It's a little slow but sweet natured.,well made christmas movie little slow sweet natured," POSITIVE,  0.9998540878295898", Positivo,  0.9998540878295898
40,5.0,True,A2BY5BZZ5UAV9B,Charles J. Mercik,Great spin on the Classic Christmas Story by the master C. Dickens...,Five Stars,great spin classic christmas story master dickens," POSITIVE,  0.9998688697814941", Positivo,  0.9998688697814941
41,5.0,True,AN61PQENFFEUR,Amazon Customer,"Great product, fast shipping",Five Stars,great product fast shipping," POSITIVE,  0.9998034834861755", Positivo,  0.9998034834861755
42,5.0,True,A1RAPP3YN10O53,Amazon Customer,"We loved it. Henry Winkler is a great actor and we missed it not being on TV this year, so we had to buy it for our collection.  Thanks",Henry Winkler A Christmas Carol,loved henry winkler great actor missed tv year buy collection thanks," POSITIVE,  0.9944494962692261", Positivo,  0.9944494962692261
43,4.0,True,A2L3Y17SPNJ918,DLAllen,This movie is better than it ought to be. Authentic settings and costuming for America 1930's Depression Era. The Scrooge character really does a good changeover. In old TV 4:5 ratio.,Fronz does us proud!,movie better ought authentic settings costuming america depression era scrooge character really good changeover old tv ratio," POSITIVE,  0.999416708946228", Positivo,  0.999416708946228
44,5.0,True,A0160612BLIWRHROHLLE,BKelley56,Good movie,Five Stars,good movie," POSITIVE,  0.9998424053192139", Positivo,  0.9998424053192139
45,3.0,True,A340KTL9KUGYB7,Mike Donnelly,OK,Three Stars,ok," POSITIVE,  0.9997851252555847", Positivo,  0.9997851252555847
46,4.0,True,AM87PNTXTKLOI,Frank  Mottis,Love this movie it is a twist from the Original!,Four Stars,love movie twist original," POSITIVE,  0.9998797178268433", Positivo,  0.9998797178268433
47,5.0,True,A3I6UVX7UWDYJM,Amazon Customer,great adaptation of dickens classic Henry winkler is a gifted actor,Five Stars,great adaptation dickens classic henry winkler gifted actor," POSITIVE,  0.9998637437820435", Positivo,  0.9998637437820435
48,5.0,True,A65UCXN2TPSGC,Frank Annis,I have been looking for this dvd for a long time. Love Henry Winkler in the movie,Love Henry Winkler in the,looking dvd long time love henry winkler movie," POSITIVE,  0.801837682723999", Positivo,  0.801837682723999
49,5.0,True,A1S0IJ7JP3XQA6,John A Skiba,"There are MANY versions of ""A Christmas Carol"" out there. In my humble opinion, this feature length story, set in America during the Great Depression, starring Henry Winkler in the ""Scrooge"" role, is BY FAR the finest interpretation of the classic story. It's as Dickens would have written if he had lived in America in the 1930's. The human drama is REAL, and the joyful ending brings Dickens' ending into the American culture. BIG smile !",The FINEST interpretation of Dickens' classic short story !,many versions christmas carol humble opinion feature length story set america great depression starring henry winkler scrooge role far finest interpretation classic story dickens would written lived america human drama real joyful ending brings dickens ending american culture big smile," POSITIVE,  0.9998563528060913", Positivo,  0.9998563528060913
50,5.0,True,AFOSVGL2LYWIF,ponygirl357,I've watching this movie for several Christmas seasons and I just love it!,A favorite of mine!,watching movie several christmas seasons love," POSITIVE,  0.9998811483383179", Positivo,  0.9998811483383179
51,5.0,True,ADMM2Y62J94LF,Caz Bowyer,this is my all time fav christmas movie.  if you haven't seen this version you need to check it out at least once in your life.,this is my all time fav christmas movie. if ...,time fav christmas movie seen version need check least life," POSITIVE,  0.9994327425956726", Positivo,  0.9994327425956726
52,4.0,True,A35OBW84S3ZNHC,ktvdpv,Certainly not the best or my favorite but still very enjoyable!,Four Stars,certainly best favorite still enjoyable," POSITIVE,  0.9998669624328613", Positivo,  0.9998669624328613
53,5.0,True,A2XO8WMP380UL,mary martin,Always loved this version of a Christmas Carol.,one of my favorite Christmas movies,always loved version christmas carol," POSITIVE,  0.9998512268066406", Positivo,  0.9998512268066406
54,5.0,True,A1X0LEXETI5G46,Amazon Customer,"Henry Winkler, cute as ever.  This movie is a nice addition to my Christmas Carol collection.",This movie is a nice addition to my Christmas Carol collection,henry winkler cute ever movie nice addition christmas carol collection," POSITIVE,  0.9998670816421509", Positivo,  0.9998670816421509
55,5.0,True,ADRU3A5DLUE3E,Rhonda Jackson,Good movie. Good buy.,Five Stars,good movie good buy," POSITIVE,  0.9998669624328613", Positivo,  0.9998669624328613
56,4.0,True,A3PYWQ75W98M50,liz brennan,good,Four Stars,good," POSITIVE,  0.9998161196708679", Positivo,  0.9998161196708679
57,4.0,True,A3AKTNMH6TMCQA,Norman A,"Found ""An American Christmas Carol"" to be enjoyable. In my opinion, it didn't rise to the level of the film versions of the Dickens Christmas Carol, but it was worth watching.","Found ""An American Christmas Carol"" to be enjoyable. In ...",found american christmas carol enjoyable opinion rise level film versions dickens christmas carol worth watching," POSITIVE,  0.9997895359992981", Positivo,  0.9997895359992981
58,5.0,True,APDQEBD3PCDNG,diane,Fantastic movie,Five Stars,fantastic movie," POSITIVE,  0.9998725652694702", Positivo,  0.9998725652694702
59,4.0,True,A1HSTN0YLV0KX8,S Libby,Henry Winkler was great in this.,"Kind of like A Christmas Carol, Scrooge.",henry winkler great," POSITIVE,  0.9998304843902588", Positivo,  0.9998304843902588
60,3.0,True,A3AV0IRT0TO3ZD,Alma T. in Baltimore,Is among my favorite updated versions of A Christmas Carol.,Three Stars,among favorite updated versions christmas carol," POSITIVE,  0.9996689558029175", Positivo,  0.9996689558029175
61,5.0,True,A1B4RZ1OFSLYQW,Daniel B. Luber,"I've always loved watching ""American Christmas Carol"". Tradition in our family.",Five Stars,always loved watching american christmas carol tradition family," POSITIVE,  0.9997556805610657", Positivo,  0.9997556805610657
62,5.0,True,AJ2K0TOX7XW01,S. WELLFORD,"This movie is really good,I loved it",An American Christmas Carol,movie really good loved," POSITIVE,  0.9998767375946045", Positivo,  0.9998767375946045
63,3.0,True,AVSLEL5LAY67Q,OP,It was OK but not the best.,OK but not great.,ok best," NEGATIVE,  0.7777029871940613", Negative,  0.7777029871940613
64,5.0,True,A2DVSU8ZZ93H3Y,Mary L. Govoni,Wonderful movie. Well made and Henry Winkler was amazing in this roll.,Five Stars,wonderful movie well made henry winkler amazing roll," POSITIVE,  0.9998849630355835", Positivo,  0.9998849630355835
65,4.0,True,A1A0O4ZP39W2TW,kandersen,"My husband and I were looking for a Christmas movie to watch and stumbled across this one randomly. We chose it because of Henry Winkler. We were both pleasanly surprised at how much we liked it. It was a nice update on the classic story, even though it's ""old"" now. We both recommend it.",A nice surprise,husband looking christmas movie watch stumbled across one randomly chose henry winkler pleasanly surprised much liked nice update classic story even though old recommend," POSITIVE,  0.9996802806854248", Positivo,  0.9996802806854248
66,5.0,True,A20ILGIRTI1A3J,michael rute,Great,Five Stars,great," POSITIVE,  0.9998630285263062", Positivo,  0.9998630285263062
67,2.0,True,A3BPS2OLX3B2TO,SabinaDeMartini,"Hate to say it, but this is an example of a re-make falling short of the mark.",Stick with the classic version,hate say example falling short mark," NEGATIVE,  0.9988929629325867", Negative,  0.9988929629325867
68,4.0,True,A2LPFBAOMC749J,Toots,A great contemporary perspective of A Christmas Carol!,Great!,great contemporary perspective christmas carol," POSITIVE,  0.9998782873153687", Positivo,  0.9998782873153687
69,5.0,True,A1R3G1373FHEWA,Glenn Ingalls,"Great price, great quality, will buy from seller again",Five Stars,great price great quality buy seller," POSITIVE,  0.999459445476532", Positivo,  0.999459445476532
71,4.0,True,AVF05S1035880,Stanley Fernandes,Thought it was a very good interpretation of A Christmas Carol. Henry Winkler did a good job as Mr. Slate (Scrooge). I would recommend this movie if you are a fan.,Thought it was a very good interpretation of A Christmas Carol,thought good interpretation christmas carol henry winkler good job slate scrooge would recommend movie fan," POSITIVE,  0.9995989203453064", Positivo,  0.9995989203453064
72,1.0,True,A35VHR4L8HF3RQ,kell,did not like,One Star,like," NEGATIVE,  0.9891077280044556", Negative,  0.9891077280044556
73,3.0,True,A1HUK3BZ3J92PW,J. Casey Devine,"It was an ok adaptation, but I still prefer the original version.",Bah Humbug?,ok adaptation still prefer original version," POSITIVE,  0.9990731477737427", Positivo,  0.9990731477737427
74,5.0,True,A2E3MAWWN0V14U,Lori J. Simeone,I was getting tired of the same holiday movies that run every day at christmas.  I love this old movie.  Great to watch during the holidays!!  Me & my husband watched it on Christmas Eve.,Classic Christmas Movie,getting tired holiday movies run every day christmas love old movie great watch holidays husband watched christmas eve," POSITIVE,  0.9997319579124451", Positivo,  0.9997319579124451
75,3.0,True,A2QYDYFWSRGIFB,HLC51,Not what I expected.  Very low budget.,Wouldn't watch again,expected low budget," NEGATIVE,  0.99982088804245", Negative,  0.99982088804245
76,5.0,True,A29WW6MCV7IOVU,Frank,Great movie,Five Stars,great movie," POSITIVE,  0.9998624324798584", Positivo,  0.9998624324798584
77,5.0,True,A1IK3U20MSQZLC,PhineasPhil,Very well done!  Henry Winkler performed flawlessly!,A Great Adaptation of the Dickens Classic,well done henry winkler performed flawlessly," POSITIVE,  0.9998656511306763", Positivo,  0.9998656511306763
78,5.0,True,A3CONMSD2RMG2C,Lea,Very good. The best thing Henry Winkler EVER did.,Five Stars,good best thing henry winkler ever," POSITIVE,  0.9998458623886108", Positivo,  0.9998458623886108
79,4.0,True,A3GGZQN2H1EAEL,LEONARD F SUTPHIN,good variation of a theme.,Four Stars,good variation theme," POSITIVE,  0.9998539686203003", Positivo,  0.9998539686203003
80,4.0,True,A2IIFOSPWO6NK,GinaM,"A sweet movie with Henry Winkler ""The Christmas Carol"" genre.",Four Stars,sweet movie henry winkler christmas carol genre," POSITIVE,  0.9998769760131836", Positivo,  0.9998769760131836
81,5.0,True,ABJLL66NMY9ZG,Dianne Henriksen,This is a classic scrooge movie but set in the 30's and I love Henry Winkler!,... scrooge movie but set in the 30's and I love Henry Winkler,classic scrooge movie set love henry winkler," POSITIVE,  0.9995457530021667", Positivo,  0.9995457530021667
82,5.0,True,AWGQYY31KHT13,Donna Briery,Excellent inspiring movie!!!,Five Stars,excellent inspiring movie," POSITIVE,  0.9998795986175537", Positivo,  0.9998795986175537
83,4.0,False,AOY8P5URPRNUP,William Hesseltine,Enjoyed this different twist to Dicken's tale.,Four Stars,enjoyed different twist dicken tale," POSITIVE,  0.9998695850372314", Positivo,  0.9998695850372314
84,3.0,True,ACER35NN2GG52,Jack2,Interesting adaption of the scrooge story.,Different,interesting adaption scrooge story," POSITIVE,  0.999817430973053", Positivo,  0.999817430973053
85,5.0,True,A2064UKX4E89JT,jean heyes,Good take off on the original.,Five Stars,good take original," POSITIVE,  0.9998301267623901", Positivo,  0.9998301267623901
86,4.0,False,A3TPAYBF2JECEX,lana theobald,Liked,Four Stars,liked," POSITIVE,  0.999828577041626", Positivo,  0.999828577041626
87,5.0,True,A2EYXS22PP3VYU,Amazon Customer,always was a good movie,Five Stars,always good movie," POSITIVE,  0.9998599290847778", Positivo,  0.9998599290847778
88,5.0,True,A1ILZAXSJCRLUA,Don W. Brown,I am a Henery Winkler fan,Anything Winkler,henery winkler fan," POSITIVE,  0.9986894726753235", Positivo,  0.9986894726753235
89,2.0,True,A1L2DLWYRNHKDR,Yiannis P,Pathetic reproduction of the Dickens classic. Interesting that the movie is particularly concerned with  the problem of people who lose their possessions to money lenders--corporations not unlike the ones which own directly or indirectly the media which present us with the American version of the Christmas carol.,Don't Bother: Read the News,pathetic reproduction dickens classic interesting movie particularly concerned problem people lose possessions money lenders corporations unlike ones directly indirectly media present us american version christmas carol," NEGATIVE,  0.9803250432014465", Negative,  0.9803250432014465
90,5.0,True,A3826GI7UHI7SZ,Danny E. Vidler,"I love this movie. Brings back memories to when I first saw it. Henry Winkler is wonderful as an American ""Scrooge"". It is set during the Depression of the 1930s. And ""tiny Tim"" is a young boy who has been hit with polio.",Henry Winkler Is America's Scrooge,love movie brings back memories first saw henry winkler wonderful american scrooge set depression tiny tim young boy hit polio," POSITIVE,  0.9998531341552734", Positivo,  0.9998531341552734
91,3.0,True,AMIFEL38NDZP9,froggy,Fleur bleu.,Three Stars,fleur bleu," POSITIVE,  0.9602236747741699", Positivo,  0.9602236747741699
92,4.0,True,A2AYG2MTAHZ2L1,Todd a brown,Worth watching if you like dickens,I love a good Christmas story...,worth watching like dickens," POSITIVE,  0.9996378421783447", Positivo,  0.9996378421783447
93,5.0,True,A3KGJE4LQW0T2Q,pei gimel yod,Since I love Henry Winkler this is an easy one to enjoy. Henry is such a great actor.,"Henry is a great ""Scrooge"" aka Mr. Slade.",since love henry winkler easy one enjoy henry great actor," POSITIVE,  0.9997947812080383", Positivo,  0.9997947812080383
94,3.0,True,A1HU6JEHAN7BZN,Amazon Shopper,It's okay,Three Stars,okay," POSITIVE,  0.9998279809951782", Positivo,  0.9998279809951782
95,1.0,True,A1A0ZTO3NSSQ1O,TocyRN,Slow moving. Boring.  Never finished it.,Boring. Never finished it,slow moving boring never finished," NEGATIVE,  0.9997500777244568", Negative,  0.9997500777244568
96,4.0,True,AJS9MAOHDF6Z2,Linda f. Moreno,I thought it was a good Christmas movie.,Four Stars,thought good christmas movie," POSITIVE,  0.999789297580719", Positivo,  0.999789297580719
97,4.0,True,A1V0PX9CYT8C3G,Craig Cochran,"Just really great! I never knew the Fonze played Scrooge. Well, the characters' names are all different, there's no nephew, the ghost of Christmas future talks, but the basic story line is the same old wonderful classic. I really enjoyed this movie and I think you will too!",Worth watching!,really great never knew fonze played scrooge well characters names different nephew ghost christmas future talks basic story line old wonderful classic really enjoyed movie think," POSITIVE,  0.9998685121536255", Positivo,  0.9998685121536255
98,5.0,True,A20AEU3GY46QO3,Eric M. Brasher,It was great seeing this again. I remember when it first came out. Henry Winkler was still the Fonz. I remember how strange it was seeing him in this role. A great take on Mr. Dickens classic story.,Heeyyy,great seeing remember first came henry winkler still fonz remember strange seeing role great take dickens classic story," POSITIVE,  0.9996159076690674", Positivo,  0.9996159076690674
99,4.0,True,A2XC0CQ9RGPILW,Susan,"This is your classic Christmas Carol with Henry Winkler playing Scrooge. He was actually fairly young when he played this part. They did a great job making him look like an old man. Of course, Henry did a great job with the acting portion. The ending in this take was a little unbelievable as Scroodge was very old by that time. Still a very uplifting film with a good lesson for life.",Scroodge with Henry Winkler,classic christmas carol henry winkler playing scrooge actually fairly young played part great job making look like old man course henry great job acting portion ending take little unbelievable scroodge old time still uplifting film good lesson life," POSITIVE,  0.9991681575775146", Positivo,  0.9991681575775146
100,4.0,True,A1XJGHJZR5RT6E,David,Fine acting by Henry Winkler and supporting cast.  Nice version of the many films that have been made of A Christmas Carol.,Nice version of A Christmas Carol,fine acting henry winkler supporting cast nice version many films made christmas carol," POSITIVE,  0.9998558759689331", Positivo,  0.9998558759689331
101,3.0,True,A2MLZ51ZKMAI93,JGG,Slowwwwwwww,Three Stars,slowwwwwwww," NEGATIVE,  0.9961302280426025", Negative,  0.9961302280426025
102,3.0,True,A3ALJT9CJBMZWS,Max Mustang,Wife liked it!  Old TV Special!,Wife liked it!,wife liked old tv special," POSITIVE,  0.9988523721694946", Positivo,  0.9988523721694946
103,5.0,True,A2EV0EG5QVUDC8,Lawrence Bateman,Very good movie,Five Stars,good movie," POSITIVE,  0.9998650550842285", Positivo,  0.9998650550842285
104,5.0,True,A3E0AN2KCJMJIS,lauriepalm,For fans of the Dickens story this remains fresh today! For fans of Henry Winkler it delivers with his Fonzi good looks and particular method of acting - very focused and sharp with movement and dialogue. Great watch for the Happy Days familiar.,For fans of Henry Winkler it delivers with his Fonzi good looks and particular method of acting - very focused ...,fans dickens story remains fresh today fans henry winkler delivers fonzi good looks particular method acting focused sharp movement dialogue great watch happy days familiar," POSITIVE,  0.9998704195022583", Positivo,  0.9998704195022583
105,5.0,True,A2AQW8SRPR4OI9,pyroguy,"well made, good acting for all",good acting for,well made good acting," POSITIVE,  0.9998688697814941", Positivo,  0.9998688697814941
106,4.0,True,ATY3EHSHSFIFI,Lawrence L,"enjoyed another version of ""The Christmas Carol"", story still comes through",Four Stars,enjoyed another version christmas carol story still comes," POSITIVE,  0.9995224475860596", Positivo,  0.9995224475860596
107,4.0,True,A3HE8XFRVCH9V8,Annelle L. Ford,Good remake of the classic,Four Stars,good remake classic," POSITIVE,  0.9997753500938416", Positivo,  0.9997753500938416
109,5.0,True,A1QZKM8M6866I8,Amazon Customer,While Winkler's make up job is dated and not realistic this version is well done . A nice story . So glad we found it on Amazon after seeing it back on 1979 on TV,A nice version of Christmas carol - winkler does a nice job,winkler make job dated realistic version well done nice story glad found amazon seeing back tv," POSITIVE,  0.99880051612854", Positivo,  0.99880051612854
110,2.0,True,A216WX511ULMEI,GERARD W. GREGOIRE,Such phoney acting!,NOT WORTH WATCHING,phoney acting," NEGATIVE,  0.9943529367446899", Negative,  0.9943529367446899
111,5.0,True,A33CUOVDQB6677,Athelynne Robinson,Excellent story that reminds you - to love yourself and other as God/Jesus loves you.,Five Stars,excellent story reminds love loves," POSITIVE,  0.9998834133148193", Positivo,  0.9998834133148193
112,4.0,True,A3I4C4LS3ID7Y4,Carol,"Good story for the family, and a great message.",Four Stars,good story family great message," POSITIVE,  0.9998788833618164", Positivo,  0.9998788833618164
113,5.0,True,AXS7LK275P70V,EyesofLight,"Love Henry Winkler! He's a convincing ""Scrooge"" with a meltable heart. Really liked the way the story wrote in the not-so-ghostly ""ghosts"" of past, present and future Christmases. And we just love a happy ending, don't we?",God bless Henry Winkler!,love henry winkler convincing scrooge meltable heart really liked way story wrote ghosts past present future christmases love happy ending," POSITIVE,  0.999853253364563", Positivo,  0.999853253364563
114,4.0,True,A3AT1UFJ6X5X1P,arthur cboyum,it was a good movie but we still like the old one best.,Four Stars,good movie still like old one best," POSITIVE,  0.9998236298561096", Positivo,  0.9998236298561096
115,5.0,True,AURHUEDIPJ4T9,karen meyer,"I saw this as TV movie.
It is very good story based on A Christmas Carol set in Depression era.
Henry Winkler does excellent Acting.
Wonderful Christmas movie.",great DVD,saw tv movie good story based christmas carol set depression era henry winkler excellent acting wonderful christmas movie," POSITIVE,  0.9998608827590942", Positivo,  0.9998608827590942
116,4.0,True,A1THR9N56X83LO,Amazon Customer,Good as it gets for a modern twist to this 1800's tale.,Fun to watch.,good gets modern twist tale," POSITIVE,  0.9998390674591064", Positivo,  0.9998390674591064
117,5.0,True,A23T9UKFFERSVH,fldairy,great show,Five Stars,great show," POSITIVE,  0.999869704246521", Positivo,  0.999869704246521
118,3.0,True,A2GOLV2BBV0W4F,Veva Villinger,it was alright,Three Stars,alright," POSITIVE,  0.9997536540031433", Positivo,  0.9997536540031433
119,5.0,True,A1DXBA12SNRQ2W,MovieMan,Good movie.,Five Stars,good movie," POSITIVE,  0.999839186668396", Positivo,  0.999839186668396
120,5.0,True,A27IHE8E5MGKG3,Randal J. Geringer,"Henry Winkler does a great job playing Slade.  He is just plan mean and cold hearted.  Rich with nothing to show for it.  Then the usual transformation.

The auction was a new twist adding humor in an un-expected scene.  Winkler ends up being so much fun at the end of the movie making turning it into a comedy.

I'll watch this again.",Ayyyyyyyy! plus performance by Winkler,henry winkler great job playing slade plan mean cold hearted rich nothing show usual transformation auction new twist adding humor scene winkler ends much fun end movie making turning comedy watch," POSITIVE,  0.7783608436584473", Positivo,  0.7783608436584473
121,5.0,True,A17JRLSSEM75GK,Douglas Meyer,good movie,Five Stars,good movie," POSITIVE,  0.9998424053192139", Positivo,  0.9998424053192139
